id;site;supervisor;po_number;part_number;part_description;qty_replaced;replacement_cost_each;freight_charge;total_charge;notes
1;sticky neural Kids;Cotton relationships;Chief web-enabled interactive;District Idaho Grocery;Concrete Towels Avon;41892;Product;multi-byte modular;Electronics;Bedfordshire Strategist
2;Towels applications;Zimbabwe;Bedfordshire;application scale;indigo National;20513;orchid Tools;generating Arkansas;synthesize;Macedonia Japan
3;target Rhode Island;Intelligent;SDD Mobility;didactic Dynamic;schemas Industrial;15615;bus withdrawal Toys;Enterprise-wide;Moldovan Leu;Checking Account
4;multi-byte Salad;Idaho bandwidth;Visionary pixel SAS;Markets Branding Concrete;eco-centric Senior;1300;Handmade fuchsia;Wooden;North Carolina infomediaries Chief;Money Market Account end-to-end navigating
5;Alaska solution-oriented;best-of-breed generate;applications context-sensitive;Consultant back-end Fresh;Cambridgeshire Central;79985;supply-chains;Bedfordshire;Peru withdrawal Down-sized;invoice
6;Liaison Tonga;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;1099;Concrete;system-worthy pixel Phased;withdrawal Towels;navigating seize generate
7;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;International card;West Virginia Keys;66367;Research sensor black;Equatorial Guinea;Auto Loan Account;indexing
8;Savings Account extensible connect;robust;interface Buckinghamshire;Investment Account Forge Licensed;auxiliary;69469;24 hour Colorado granular;solid state;Soft Quality Mount;Awesome
9;USB alarm 1080p;feed invoice;Triple-buffered Borders magenta;Tasty Metal Chair Handcrafted Rubber Sausages Officer;Mississippi Product;3394;Leone;azure;Administrator;online program Refined Granite Gloves
10;quantifying Baby;one-to-one Connecticut;Unbranded Tugrik;models streamline;projection Maldives;79072;policy Home Loan Account;e-commerce SSL web-readiness;JBOD Books;sky blue matrix Data
